Baker,Age,Occupation,Hometown,Series,"Star
Baker",Finish
Nancy Birtwhistle,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",Series 5,1,Winner
Stu Henshall,35,Professional musician,"Guildford, Surrey",Series 6,0,12th
Marie Campbell,66,Retired,"Auchterarder, Perthshire",Series 6,1,11th
Dorret Conway,53,Accountant,"Penwortham, Lancashire",Series 6,0,10th
Sandy Docherty,49,Child welfare officer,"Yeadon, West Yorkshire",Series 6,0,9th
Ugnė Bubnaityte,32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania",Series 6,0,8th
Alvin Magallanes,37,Nurse,"Bracknell, Berkshire",Series 6,0,7th
Mat Riley,37,Fire fighter,London,Series 6,1,6th
Paul Jagger,49,Prison governor,"Swansea, Wales",Series 6,0,5th
Flora Shedden,19,Art gallery assistant,"Dunkeld, Perth and Kinross",Series 6,0,4th
Ian Cumming,41,Travel photographer,"Great Wilbraham, Cambridgeshire",Series 6,3,Runner-up
Tamal Ray,29,Trainee anaesthetist,Manchester,Series 6,1,Runner-up
Nadiya Hussain,30,Full-time mother,Leeds / Luton,Series 6,3,Winner
Lee Banfield,67,Pastor,Bolton,Series 7,0,12th
Louise Williams,46,Hairdresser,Cardiff,Series 7,0,11th
Michael Georgiou,20,Student,Durham,Series 7,0,10th
Kate Barmby,37,Nurse,"Brooke, Norfolk",Series 7,0,9th
"Valerie ""Val"" Stones",66,"Semi-retired, Substitute teacher",Yeovil,Series 7,0,8th
Rav Bansal,28,Student support,Erith,Series 7,0,7th
Tom Gilliford,26,Project engagement manager,Rochdale,Series 7,2,6th
Benjamina Ebuehi,23,Teaching assistant,South London,Series 7,1,5th
Selasi Gbormittah,30,Client service associate,London,Series 7,0,4th
Andrew Smyth,25,Aerospace engineer,"Derby / Holywood, County Down",Series 7,2,Runner-up
Jane Beedle,61,Garden designer,Beckenham,Series 7,1,Runner-up
Candice Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire",Series 7,3,Winner
